EVENTS	AGR_EMP_t_3	AGR_EMP_t_2	AGR_EMP_t_1	AGR_EMP_max	AGR_EMP_index_max	AGR_EMP_min	AGR_EMP_index_min	AGR_EMP_average	AGR_EMP_slope	CRED_t_3	CRED_t_2	CRED_t_1	CRED_max	CRED_index_max	CRED_min	CRED_index_min	CRED_average	CRED_slope	FDI_t_3	FDI_t_2	FDI_t_1	FDI_max	FDI_index_max	FDI_min	FDI_index_min	FDI_average	FDI_slope	class
BRA-1990	24.60	24.20	23.20	24.60	0	23.20	2	24.00	-0.70	?	98.35	127.75	127.75	2	98.35	1	113.05	?	0.40	0.85	0.27	0.85	1	0.27	2	0.50	-0.07	crisis
BRA-1994	?	28.30	27.40	28.30	1	27.40	2	27.85	?	45.16	84.47	134.11	134.11	2	45.16	0	87.91	44.48	0.27	0.53	0.29	0.53	1	0.27	0	0.36	0.01	crisis
NOR-1991	6.30	6.40	6.40	6.40	1	6.30	0	6.37	0.05	62.35	63.53	62.79	63.53	1	62.35	0	62.89	0.22	0.28	1.51	0.85	1.51	1	0.28	0	0.88	0.29	crisis
USA-1988	3.10	3.10	3.00	3.10	0	3.00	2	3.07	-0.05	107.50	114.01	116.37	116.37	2	107.50	0	112.63	4.43	0.48	0.80	1.24	1.24	2	0.48	0	0.84	0.38	crisis
USA-2007	1.60	1.60	1.50	1.60	0	1.50	2	1.57	-0.05	191.38	195.76	205.75	205.75	2	191.38	0	197.63	7.19	1.24	0.90	1.83	1.83	2	0.90	1	1.32	0.29	crisis
JPN-1997	5.80	5.70	5.50	5.80	0	5.50	2	5.67	-0.15	201.57	201.24	202.43	202.43	2	201.24	1	201.75	0.43	0.02	0.00	0.00	0.02	0	0.00	1	0.01	-0.01	crisis
SVN-1992	?	?	?	?	?	?	?	?	?	?	?	35.07	35.07	2	35.07	2	35.07	?	?	?	?	?	?	?	?	?	?	crisis
GBR-2007	1.30	1.30	1.30	1.30	0	1.30	0	1.30	0.00	150.85	159.61	170.74	170.74	2	150.85	0	160.40	9.94	2.60	7.78	6.30	7.78	1	2.60	0	5.56	1.85	crisis
BRA-1980	?	?	?	?	?	?	?	?	?	54.45	50.29	50.19	54.45	0	50.19	2	51.64	-2.13	1.04	1.00	1.08	1.08	2	1.00	1	1.04	0.02	normal
BRA-2004	20.60	20.60	20.70	20.70	2	20.60	0	20.63	0.05	30.38	30.65	28.65	30.65	1	28.65	2	29.90	-0.87	4.06	3.29	1.84	4.06	0	1.84	2	3.06	-1.11	normal
BRA-1974	?	?	?	?	?	?	?	?	?	37.30	41.76	44.09	44.09	2	37.30	0	41.05	3.39	?	?	?	?	?	?	?	?	?	normal
NOR-1981	?	?	8.30	8.30	2	8.30	2	8.30	?	31.60	31.87	30.82	31.87	1	30.82	2	31.43	-0.39	1.06	0.76	0.09	1.06	0	0.09	2	0.64	-0.49	normal
NOR-2001	4.70	4.60	4.30	4.70	0	4.30	2	4.53	-0.20	70.34	68.55	65.50	70.34	0	65.50	2	68.13	-2.42	2.88	4.26	4.14	4.26	1	2.88	0	3.76	0.63	normal
NOR-1971	?	?	?	?	?	?	?	?	?	33.55	34.91	33.59	34.91	1	33.55	0	34.02	0.02	?	?	0.50	0.50	2	0.50	2	0.50	?	normal
USA-1978	?	?	?	?	?	?	?	?	?	93.90	93.08	93.23	93.90	0	93.08	1	93.40	-0.34	0.16	0.18	0.14	0.18	1	0.14	2	0.16	-0.01	normal
USA-1998	2.90	2.80	2.70	2.90	0	2.70	2	2.80	-0.10	135.51	143.39	152.28	152.28	2	135.51	0	143.73	8.38	0.79	1.12	1.28	1.28	2	0.79	0	1.06	0.25	normal
JPN-2007	4.50	4.40	4.30	4.50	0	4.30	2	4.40	-0.10	180.10	188.18	184.41	188.18	1	180.10	0	184.23	2.15	0.17	0.07	-0.16	0.17	0	-0.16	2	0.03	-0.16	normal
JPN-1987	8.90	8.80	8.50	8.90	0	8.50	2	8.73	-0.20	145.26	147.69	154.00	154.00	2	145.26	0	148.98	4.37	-0.00	0.05	0.01	0.05	1	-0.00	0	0.02	0.01	normal
JPN-1977	?	?	?	?	?	?	?	?	?	124.63	128.05	128.71	128.71	2	124.63	0	127.13	2.04	?	?	?	?	?	?	?	?	?	normal
SVN-2002	10.80	9.50	9.80	10.80	0	9.50	1	10.03	-0.50	33.32	35.75	37.93	37.93	2	33.32	0	35.67	2.30	0.48	0.68	2.46	2.46	2	0.48	0	1.20	0.99	normal
GBR-1997	2.10	2.00	1.90	2.10	0	1.90	2	2.00	-0.10	107.57	113.07	116.65	116.65	2	107.57	0	112.43	4.54	1.01	1.88	2.25	2.25	2	1.01	0	1.71	0.62	normal
GBR-1987	2.50	2.50	2.50	2.50	0	2.50	0	2.50	0.00	44.42	46.27	81.83	81.83	2	44.42	0	57.51	18.71	-0.08	1.18	1.50	1.50	2	-0.08	0	0.87	0.79	normal
GBR-1977	?	?	?	?	?	?	?	?	?	36.70	28.95	28.02	36.70	0	28.02	2	31.22	-4.34	2.21	1.40	1.32	2.21	0	1.32	2	1.65	-0.44	normal
